Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline,Deadline Type
T1,Sporadic,60,0,0.2,0.3,10,10,10,10,Hard
T2,Periodic,70,0,0.5,0.6,50,0,0,50,Hard
T3,Periodic,80,0,0.4,0.5,100,0,0,100,Hard
T4,Periodic,81,0,0.1,0.2,100,0,0,100,Hard
T5,Periodic,82,0,2,2.1,100,0,0,100,Hard
T6,Sporadic,83,0,1,1.1,100,100,30000,100,Hard
T7,Sporadic,84,0,2,2.1,100,100,30000,100,Hard
T8,Sporadic,85,0,1,1.1,100,100,30000,100,Hard
T9,Sporadic,86,0,2,2.1,100,100,60000,100,Hard
T10,Sporadic,87,0,2,2.1,100,100,60000,100,Hard
T11,Sporadic,88,0,0.5,0.6,100,100,100,100,Hard
T12,Sporadic,89,0,0.5,0.6,100,100,100,100,Hard
T13,Periodic,90,0,0.5,0.6,100,0,0,100,Hard
T14,Periodic,100,0,0.3,0.4,200,0,0,100,Hard
T15,Periodic,110,0,0.2,0.3,250,0,0,250,Hard
T16,Periodic,111,0,15,15.1,250,0,0,250,Hard
T17,Periodic,120,0,0.5,0.6,500,0,0,500,Hard
T18,Periodic,130,0,0.5,0.6,1000,0,0,1000,Hard
T19,Periodic,131,0,1,1.1,1000,0,0,1000,Hard
T20,Periodic,132,0,0.5,0.6,1000,0,0,1000,Hard
T21,Periodic,133,0,0.5,0.6,1000,0,0,1000,Hard
T22,Periodic,134,0,0.1,0.2,1000,0,0,1000,Hard
T23,Periodic,140,0,0.5,1.1,2000,0,0,2000,Hard
T24,Aperiodic,150,0,0.6,0.6,100,100,200,100,Soft
T25,Aperiodic,151,0,0.6,0.6,100,3600000,3600000,100,Soft
T26,Aperiodic,152,0,0.6,0.6,100,3600000,3600000,100,Soft
T27,Aperiodic,160,0,0.3,0.3,250,250,60000,250,Soft
T28,Aperiodic,170,0,0.6,0.6,1000,1000,2000,1000,Soft
T29,Aperiodic,171,0,0.6,0.6,1000,1000,2000,1000,Soft
T30,Aperiodic,172,0,0.1,900,1000,1000,2000,10000,Soft
T31,Aperiodic,173,0,5.5,5.6,1000,1000,3600000,1000,Soft
T32,Aperiodic,174,0,0.6,0.6,1000,3600000,3600000,1000,Soft
T33,Aperiodic,180,0,0.1,20000,86400,86400,3600000,20000,Soft
T34,Aperiodic,200,0,0.3,0.3,5000,5000,5000,5000,Soft
